Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-80350.92	40215.043	-22697.756	-131100.58	800.0	-285.20062	0.0005347633	-285.19577	-285.20126	224000	1.9714236e-08	185796220.0	-0.042716976	-161968.0	3.2013986	0.013405824	0.2195	79.0	295.6929121017456
28	-100116.27	54276.65	-43089.31	-239529.81	800.0	-294.091	0.00047860306	-294.08725	-294.09155	232000	-6.738305e-08	262893680.0	-0.03953129	-237584.0	3.2045321	0.010978207	0.209375	79.0	305.9775619506836
29	-79405.41	32628.79	-10604.485	-142958.28	800.0	-304.57138	0.0005770847	-304.5667	-304.572	240000	-5.9895214e-08	174214110.0	-0.03726226	-158368.0	3.1638043	0.014376838	0.205375	62.0	315.39359855651855
30	-80550.95	45552.81	7088.246	-172075.6	800.0	-313.37064	0.0004899882	-313.3662	-313.37115	248000	5.313009e-08	194340420.0	-0.039629538	-161504.0	3.1711826	0.009819151	0.215625	79.0	325.7056212425232
31	-76284.62	32007.8	-23133.742	-130236.62	800.0	-322.17914	0.00038025243	-322.17624	-322.17963	256000	-1.2144446e-08	145291280.0	-0.037576884	-144336.0	3.1071851	0.014407329	0.189125	66.0	335.5414094924927
32	-102916.31	50459.93	-49706.33	-194910.69	800.0	-330.60336	0.00056557974	-330.59888	-330.60397	264000	-3.489852e-08	301322140.0	-0.039580427	-261344.0	3.1104662	0.010807648	0.224	79.0	345.8423354625702
33	-71987.02	33932.55	-24066.617	-148062.67	800.0	-341.73532	0.00037447942	-341.73224	-341.73587	272000	-1.8194317e-08	121220430.0	-0.03809262	-131672.0	3.0862062	0.014853038	0.205	54.0	354.96939730644226
34	-82712.31	41435.332	-33614.71	-150294.94	800.0	-349.98566	0.00027117963	-349.9832	-349.98605	280000	2.271682e-08	209568340.0	-0.043575857	-178736.0	3.05539	0.013940406	0.221625	79.0	365.27540254592896
35	-70808.64	37189.33	-20481.393	-134894.95	800.0	-359.32162	0.00031422864	-359.31787	-359.32202	288000	-1.4796853e-08	182443980.0	-0.038755555	-141312.0	3.0050073	0.0133113405	0.23075	79.0	375.5625379085541
36	-68795.555	47338.914	-6923.366	-159135.78	800.0	-367.82056	0.00032006088	-367.81705	-367.82092	296000	4.4107438e-09	163564940.0	-0.034820188	-123680.0	3.016511	0.0149529325	0.1955	39.0	384.6113111972809
