Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-199883.03	150732.14	-15146.68	-562382.1	800.0	-280.1131	0.00076950784	-280.1015	-280.1139	216000	-3.33786e-08	1169274800.0	-0.04006895	-487168.0	3.5805666	0.01223848	0.219375	79.0	230.79068565368652
27	-120922.8	79856.98	-29236.129	-261287.55	800.0	-290.65903	0.00092313637	-290.64697	-290.66006	224000	-2.8789044e-08	407878300.0	-0.04325329	-195552.0	3.5517046	0.012077073	0.2195	79.0	239.767151594162
28	-163525.67	92566.8	-43644.707	-336970.44	800.0	-297.6285	0.0009376791	-297.61673	-297.62943	232000	1.2069941e-09	794006700.0	-0.037306868	-325760.0	3.567776	0.009475082	0.203375	79.0	248.53781628608704
29	-191266.97	94461.64	-35319.824	-317504.6	800.0	-306.27585	0.0012202918	-306.24265	-306.27667	240000	3.4868716e-08	913850940.0	-0.039305985	-474944.0	3.5266528	0.011568554	0.218	79.0	257.46184968948364
30	-175486.52	73224.16	-93945.586	-334678.7	800.0	-316.78857	0.000424136	-316.7852	-316.78918	248000	-1.2606383e-08	713853000.0	-0.03353187	-405568.0	3.5255477	0.015077021	0.179125	37.0	265.417857170105
31	-178918.72	144475.73	8225.252	-485417.97	800.0	-326.65616	0.0008420531	-326.6398	-326.65692	256000	-3.1851233e-08	1073326600.0	-0.0366912	-408448.0	3.4973783	0.007831118	0.21275	79.0	274.1623446941376
32	-126679.19	48296.266	-70504.93	-225334.11	800.0	-336.51544	0.0005307992	-336.5078	-336.51608	264000	-6.482005e-08	370050720.0	-0.03835063	-210080.0	3.496851	0.01466226	0.203	47.0	281.8783874511719
33	-162961.16	55810.348	-67929.19	-252165.36	800.0	-343.81302	0.00051209936	-343.80173	-343.81363	272000	1.3798475e-08	633763000.0	-0.042717826	-343232.0	3.4985557	0.009833119	0.2295	79.0	290.63776683807373
34	-142770.42	67734.44	-51442.605	-266975.12	800.0	-352.86743	0.000593453	-352.86032	-352.86795	280000	-3.272295e-08	505520640.0	-0.04183264	-270496.0	3.5062535	0.011952453	0.2385	79.0	299.73644852638245
35	-154021.08	79300.14	-36776.83	-303880.34	800.0	-361.1391	0.00040137404	-361.13077	-361.13953	288000	-3.9886682e-08	658396160.0	-0.0384367	-323648.0	3.4836752	0.010685653	0.203625	79.0	308.92882442474365
36	-170592.78	85919.2	-61372.023	-309145.3	800.0	-370.11594	0.00034356696	-370.11288	-370.11636	296000	1.0183454e-07	779110300.0	-0.03280745	-400000.0	3.501792	0.015224411	0.1815	35.0	316.4615023136139
37	-147366.03	64335.336	-55395.168	-263880.4	800.0	-380.12247	0.00031551527	-380.11752	-380.12286	304000	3.7036838e-08	519159420.0	-0.028425843	-296640.0	3.5083814	0.01507725	0.173875	29.0	323.9205448627472
38	-148344.17	73956.914	4805.955	-242473.42	800.0	-388.91037	0.00055655197	-388.89975	-388.91086	312000	1.1399388e-08	564251200.0	-0.041674223	-293760.0	3.4863133	0.008146497	0.204375	79.0	333.1229863166809
39	-143382.25	80826.76	-31435.81	-291110.72	800.0	-397.62112	0.00030026567	-397.6136	-397.6215	320000	8.098781e-08	502105950.0	-0.044975158	-276352.0	3.5076203	0.012688793	0.225875	79.0	342.2983429431915
40	-106739.56	92201.44	-2735.267	-349355.7	800.0	-406.13815	0.00104863	-406.11838	-406.1387	328000	-3.261119e-08	398281660.0	-0.04534363	-167168.0	3.5189936	0.013568793	0.228	79.0	351.7746398448944
